trait_type,phenocode,pheno_sex,coding,modifier,n_cases,n_controls,heritability,description
categorical,120,both_sexes,1,"",224079,170704,0.0,Birth weight known
categorical,1777,both_sexes,"","",8657,380287,0.014753389580491291,Part of a multiple birth
categorical,20001,both_sexes,1001,"",233,394550,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1003,"",1247,393536,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1006,"",291,394492,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1017,"",175,394608,0.0947758677839881,"Cancer code, self-reported"
categorical,20001,both_sexes,1019,"",183,394600,0.1331922924035861,"Cancer code, self-reported"
categorical,20001,both_sexes,1020,"",558,394225,0.08167491938522815,"Cancer code, self-reported"
categorical,20001,both_sexes,1022,"",1286,393497,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1023,"",279,394504,0.25898882951219293,"Cancer code, self-reported"
categorical,20001,both_sexes,1032,"",181,394602,0.14460072173306698,"Cancer code, self-reported"
categorical,20001,both_sexes,1034,"",523,394260,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1035,"",938,393845,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1048,"",178,394605,0.13416325458372985,"Cancer code, self-reported"
categorical,20001,both_sexes,1052,"",369,394414,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1053,"",739,394044,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1055,"",261,394522,0.27090459410162904,"Cancer code, self-reported"
categorical,20001,both_sexes,1059,"",3109,391674,0.019345561281283844,"Cancer code, self-reported"
categorical,20001,both_sexes,1060,"",603,394180,0.10633972974812747,"Cancer code, self-reported"
categorical,20001,both_sexes,1061,"",3706,391077,0.05875853800172884,"Cancer code, self-reported"
categorical,20001,both_sexes,1062,"",475,394308,0.12193996377204727,"Cancer code, self-reported"
categorical,20001,both_sexes,1065,"",367,394416,0.08733932909510046,"Cancer code, self-reported"
categorical,20001,both_sexes,1068,"",208,394575,0.0,"Cancer code, self-reported"
categorical,20001,both_sexes,1073,"",553,394230,0.0,"Cancer code, self-reported"
categorical,20002,both_sexes,1065,"",102580,292203,0.040151152975536515,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1066,"",1259,393524,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1067,"",727,394056,0.0,"Non-cancer illness code, self-reported"
